gene	ENSG00000231620	ENST00000433210
isoform	ENST00000433210	ENSE00001802701;ENSE00001729938
exon	ENSE00001802701	8250613	8250877
exon	ENSE00001729938	8252369	8252739
gene	ENSG00000273692	ENST00000619798;ENST00000464435
isoform	ENST00000619798	ENSE00003737220
exon	ENSE00003737220	2653853	2654518
isoform	ENST00000464435	ENSE00001819630;ENSE00001825349
exon	ENSE00001819630	4748534	4748843
exon	ENSE00001825349	4754121	4754655
gene	ENSG00000228159	ENST00000427446
isoform	ENST00000427446	ENSE00001662293;ENSE00001678745;ENSE00001645333;ENSE00001733572
exon	ENSE00001662293	2495033	2495123
exon	ENSE00001678745	2495980	2496128
exon	ENSE00001645333	2505393	2505511
exon	ENSE00001733572	2507317	2507461
